normalized_name,product_name,paxCode,reseller,date,quantity,price,currency
ace_combat_8_wings_of_theve,ACE COMBAT 8: WINGS OF THEVE,PAX0015391392,Sonkwo,2026-06,30,298.0,CNY
ace_combat_8_wings_of_theve_deluxe,ACE COMBAT 8: WINGS OF THEVE Digital Deluxe Edition,,Sonkwo,2026-06,30,398.0,CNY
captain_tsubasa_2_world_fighters_deluxe,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Deluxe Edition,,Sonkwo,2026-06,2,348.0,CNY
captain_tsubasa_2_world_fighters_ultimate,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Ultimate Edition,,Sonkwo,2026-06,3,398.0,CNY
echoes_of_aincrad,Echoes of Aincrad,PAX0015999822,Sonkwo,2026-06,3,268.0,CNY
echoes_of_aincrad_deluxe,Echoes of Aincrad Deluxe Edition,PAX0016000162,Sonkwo,2026-06,4,368.0,CNY
echoes_of_aincrad_ultimate,Echoes of Aincrad Ultimate Edition,PAX0016000264,Sonkwo,2026-06,10,498.0,CNY
naruto_shippuden_ultimate_ninja_storm_3_eu_version,Naruto Shippuden Ultimate Ninja Storm 3 - EU Version,,Heybox,2025-07,1,54.0,CNY
tales_of_arise_beyond_the_dawn_premium,Tales of Arise Beyond the Dawn Premium Edition,,Sonkwo,2026-05,3,148.0,CNY
the_blood_of_dawnwalker,The Blood of Dawnwalker,PAX0014894142,Sonkwo,2026-06,8,298.0,CNY
the_blood_of_dawnwalker_eclipse,The Blood of Dawnwalker Eclipse Edition,,Sonkwo,2026-06,3,368.0,CNY
